scenario,config,top_k,rebalance_days,cum,sharpe,mdd,alpha_total,beat_years,ndcg,prec,hit,top_ret,spread,ic,ic_yearly_mean,ir_yearly_mean
TOPK_3,EqWt,3,5,1.5560833835591104,0.5344263244433303,-0.5342142283982517,1.2872284298788865,3,0.16296919240379806,0.10759870537000323,0.28033555996136444,0.006723358147903693,0.0020740873353331892,-0.007004105481238187,-0.007004105481238187,-0.03726351562462942
TOPK_3,Q75,3,5,1.434185425843618,0.49751499413600625,-0.5723300262878255,1.1653304721633941,3,0.16296919240379806,0.10759870537000323,0.28033555996136444,0.006723358147903693,0.0020740873353331892,-0.007004105481238187,-0.007004105481238187,-0.03726351562462942
TOPK_5,EqWt,5,5,1.941058648710705,0.7196317916767682,-0.5158120281421081,1.6722036950304813,4,0.19763135672814452,0.12881589344720656,0.49415915815159367,0.005193943854805627,-0.0006793308171684657,-0.003282786579207793,-0.003282786579207793,-0.021211160482126724
TOPK_5,Q75,5,5,2.0472716025904862,0.7283336467133128,-0.48212192032259327,1.7784166489102624,4,0.19763135672814452,0.12881589344720656,0.49415915815159367,0.005193943854805627,-0.0006793308171684657,-0.003282786579207793,-0.003282786579207793,-0.021211160482126724
TOPK_10,EqWt,10,5,2.0026605460880442,0.9456277287432243,-0.3925671183261432,1.7338055924078204,4,0.2903987198658842,0.1840792150882009,0.8368172843271822,0.005957262492165105,0.0027216219496878913,0.00121356311676823,0.00121356311676823,-0.0014238540631158036
TOPK_10,Q75,10,5,1.775963763298055,0.8489304764271792,-0.36018395957268035,1.5071088096178311,4,0.2903987198658842,0.1840792150882009,0.8368172843271822,0.005957262492165105,0.0027216219496878913,0.00121356311676823,0.00121356311676823,-0.0014238540631158036
RB_5,EqWt,5,5,1.941058648710705,0.7196317916767682,-0.5158120281421081,1.6722036950304813,4,0.19763135672814452,0.12881589344720656,0.49415915815159367,0.005193943854805627,-0.0006793308171684657,-0.003282786579207793,-0.003282786579207793,-0.021211160482126724
RB_5,Q75,5,5,2.0472716025904862,0.7283336467133128,-0.48212192032259327,1.7784166489102624,4,0.19763135672814452,0.12881589344720656,0.49415915815159367,0.005193943854805627,-0.0006793308171684657,-0.003282786579207793,-0.003282786579207793,-0.021211160482126724
RB_10,EqWt,5,10,1.0804011681517918,0.4948667548678796,-0.5151899266484621,0.8115462144715679,3,0.19763135672814452,0.12881589344720656,0.49415915815159367,0.005193943854805627,-0.0006793308171684657,-0.003282786579207793,-0.003282786579207793,-0.021211160482126724
RB_10,Q75,5,10,1.2601018184666612,0.5332205370735692,-0.5175486169716526,0.9912468647864374,3,0.19763135672814452,0.12881589344720656,0.49415915815159367,0.005193943854805627,-0.0006793308171684657,-0.003282786579207793,-0.003282786579207793,-0.021211160482126724
RB_20,EqWt,5,20,0.4197376871519898,0.22595264590321532,-0.4809801337499735,0.15088273347176595,4,0.19763135672814452,0.12881589344720656,0.49415915815159367,0.005193943854805627,-0.0006793308171684657,-0.003282786579207793,-0.003282786579207793,-0.021211160482126724
RB_20,Q75,5,20,0.37007400302540394,0.19482964720750048,-0.49641030808909004,0.10121904934518011,3,0.19763135672814452,0.12881589344720656,0.49415915815159367,0.005193943854805627,-0.0006793308171684657,-0.003282786579207793,-0.003282786579207793,-0.021211160482126724
UNIV_FULL,EqWt,5,5,1.941058648710705,0.7196317916767682,-0.5158120281421081,1.6722036950304813,4,0.19763135672814452,0.12881589344720656,0.49415915815159367,0.005193943854805627,-0.0006793308171684657,-0.003282786579207793,-0.003282786579207793,-0.021211160482126724
UNIV_FULL,Q75,5,5,2.0472716025904862,0.7283336467133128,-0.48212192032259327,1.7784166489102624,4,0.19763135672814452,0.12881589344720656,0.49415915815159367,0.005193943854805627,-0.0006793308171684657,-0.003282786579207793,-0.003282786579207793,-0.021211160482126724
UNIV_TOP90,EqWt,5,5,0.21163646159039562,0.12101943077959001,-0.6964152880852559,-0.05721849208982821,2,0.2068676791563835,0.13681174520868283,0.5018306339281176,0.006500566094925328,0.001857139209180434,-0.007548553477396258,-0.007548553477396258,-0.03701221463142402
UNIV_TOP90,Q75,5,5,0.08006413711193505,0.04648752806150658,-0.7145748532464142,-0.18879081656828878,2,0.2068676791563835,0.13681174520868283,0.5018306339281176,0.006500566094925328,0.001857139209180434,-0.007548553477396258,-0.007548553477396258,-0.03701221463142402
UNIV_TOP70,EqWt,5,5,0.1458660908189897,0.08590916484879918,-0.590436605810925,-0.12298886286123412,2,0.24583743471846678,0.16018388897361596,0.5800568959381831,0.0045407169748922175,0.0030501550869691204,-0.009440866430810008,-0.009440866430810008,-0.03956572926198414
UNIV_TOP70,Q75,5,5,0.26173427190657206,0.14308079299185802,-0.5515399459161385,-0.007120681773651771,2,0.24583743471846678,0.16018388897361596,0.5800568959381831,0.0045407169748922175,0.0030501550869691204,-0.009440866430810008,-0.009440866430810008,-0.03956572926198414
