schema,config,side,year,strategy_return,vni_return,alpha
26f,EqWt,long,2022,-0.198990091161103,-0.327835918519903,0.1288458273588
tr_price7f,EqWt,long,2022,-0.13339700824853307,-0.327835918519903,0.19443891027136995
26f,EqWt,long,2023,0.5159455475607395,0.12197519586134442,0.3939703516993951
tr_price7f,EqWt,long,2023,0.06259333424117886,0.12197519586134442,-0.059381861620165566
26f,EqWt,long,2024,0.39624132691554603,0.12111369730868549,0.27512762960686055
tr_price7f,EqWt,long,2024,0.17867974007968268,0.12111369730868549,0.057566042770997194
26f,EqWt,long,2025,0.47857433062137766,0.4086818547814137,0.06989247583996394
tr_price7f,EqWt,long,2025,0.41829568492616387,0.4086818547814137,0.009613830144750146
26f,EqWt,long,2026,0.07285551069783147,0.06534640149286375,0.007509109204967723
tr_price7f,EqWt,long,2026,0.25709048595846884,0.06534640149286375,0.1917440844656051
26f,Q75,long,2022,-0.17025756179941998,-0.327835918519903,0.15757835672048304
tr_price7f,Q75,long,2022,-0.0744042024627698,-0.327835918519903,0.2534317160571332
26f,Q75,long,2023,0.5137346008711647,0.12197519586134442,0.3917594050098203
tr_price7f,Q75,long,2023,0.061774446716792664,0.12197519586134442,-0.06020074914455176
26f,Q75,long,2024,0.3476272610864519,0.12111369730868549,0.22651356377776644
tr_price7f,Q75,long,2024,0.18490608004007414,0.12111369730868549,0.06379238273138865
26f,Q75,long,2025,0.5044108077300036,0.4086818547814137,0.09572895294858985
tr_price7f,Q75,long,2025,0.3839843520963764,0.4086818547814137,-0.024697502685037342
26f,Q75,long,2026,0.0016295743901741933,0.06534640149286375,-0.06371682710268955
tr_price7f,Q75,long,2026,0.2497847342227879,0.06534640149286375,0.18443833272992416
