schema,scenario,config,side,top_k,rebalance_days,cum,sharpe,mdd,wr,alpha_total,beat_years
26f,LIQ_TOP100_EXETF,EqWt,long,5,5,1.6894679747521106,0.7512579050042127,-0.3834318151155196,0.5485661424606846,1.4206130210718868,5
tr_price7f,LIQ_TOP100_EXETF,EqWt,long,5,5,0.9351579166973691,0.4899112199010976,-0.4137693082827991,0.5448658649398704,0.6663029630171453,4
26f,LIQ_TOP70_EXETF,EqWt,long,5,5,1.115879068630227,0.5814417851814443,-0.40099627865134424,0.5430157261794635,0.8470241149500031,3
tr_price7f,LIQ_TOP70_EXETF,EqWt,long,5,5,0.9664702883401157,0.5172604252622286,-0.32164430419140466,0.5522664199814986,0.6976153346598919,3
26f,LIQ_TOP90_EXETF,EqWt,long,5,5,1.6220602058703628,0.7428002389499361,-0.380100354741995,0.5504162812210915,1.353205252190139,4
tr_price7f,LIQ_TOP90_EXETF,EqWt,long,5,5,0.840490068237598,0.4456656295530225,-0.3800735817362948,0.5522664199814986,0.5716351145573741,5
26f,RB_10,EqWt,long,5,10,0.811939533760766,0.4213889065726183,-0.3804979326003206,0.5485661424606846,0.5430845800805422,4
tr_price7f,RB_10,EqWt,long,5,10,2.1976623351739355,0.9525688473349397,-0.27965832358722853,0.5596669750231268,1.9288073814937117,4
26f,RB_20,EqWt,long,5,20,0.5307329206011995,0.29132267415741336,-0.5121134767627351,0.5522664199814986,0.26187796692097565,4
tr_price7f,RB_20,EqWt,long,5,20,0.21614711944145304,0.13206952157362273,-0.57133166992211,0.5383903792784459,-0.05270783423877079,3
26f,RB_5,EqWt,long,5,5,1.6894679747521106,0.7512579050042127,-0.3834318151155196,0.5485661424606846,1.4206130210718868,5
tr_price7f,RB_5,EqWt,long,5,5,0.9351579166973691,0.4899112199010976,-0.4137693082827991,0.5448658649398704,0.6663029630171453,4
26f,TOPK_10,EqWt,long,10,5,0.6292511703820922,0.388020034003126,-0.37468325335296637,0.5652173913043478,0.3603962167018684,3
tr_price7f,TOPK_10,EqWt,long,10,5,0.4050055577259599,0.28084531616184316,-0.294414793430139,0.5596669750231268,0.1361506040457361,3
26f,TOPK_3,EqWt,long,3,5,3.165631013426183,1.0029942668331377,-0.41306691705612286,0.5531914893617021,2.8967760597459593,4
tr_price7f,TOPK_3,EqWt,long,3,5,0.9171897162617937,0.42878304857117977,-0.48363230266156576,0.5383903792784459,0.6483347625815699,3
26f,TOPK_5,EqWt,long,5,5,1.6894679747521106,0.7512579050042127,-0.3834318151155196,0.5485661424606846,1.4206130210718868,5
tr_price7f,TOPK_5,EqWt,long,5,5,0.9351579166973691,0.4899112199010976,-0.4137693082827991,0.5448658649398704,0.6663029630171453,4
