config,year,strategy_return_mean,strategy_return_std,alpha_mean,alpha_std
EqWt,2022,-0.33696402368487854,0.05579677483184329,-0.009128105164975508,0.05579677483184329
EqWt,2023,0.08759481462623508,0.056854516730931906,-0.034380381235109336,0.056854516730931906
EqWt,2024,0.8239742398398697,0.186920395872048,0.7028605425311841,0.186920395872048
EqWt,2025,0.7747208555145733,0.14372499625049565,0.3660390007331595,0.14372499625049565
EqWt,2026,0.01728224727544867,0.06969816957570685,-0.04806415421741508,0.06969816957570685
Q75,2022,-0.20462791147368006,0.07262695069581133,0.12320800704622295,0.07262695069581133
Q75,2023,0.11367325830246103,0.04593592043225188,-0.008301937558883398,0.04593592043225188
Q75,2024,0.7415515689425745,0.16072310293294118,0.6204378716338889,0.16072310293294118
Q75,2025,0.7830037182849454,0.17069796615249905,0.37432186350353164,0.17069796615249905
Q75,2026,0.011031988295130458,0.06743651514882108,-0.054314413197733294,0.06743651514882108
